Date,Price_X,Price_Y,Price_Z,Price_Equipo1,Price_Equipo2
2013-06-30,103.34100000000001,505.375,1816.0,421.82,805.297
2013-07-31,107.42695652173914,509.5652173913044,1767.358695652174,430.14,798.68
2013-08-31,110.44909090909091,530.2272727272727,1815.0568181818182,443.7795454545454,818.9340909090909
2013-09-30,111.2547619047619,541.6666666666666,1759.154761904762,454.87,803.4285714285714
2013-10-31,109.4404347826087,525.7608695652174,1810.804347826087,442.0547826086957,812.0891304347825
2013-11-30,107.90380952380953,520.1190476190476,1749.5357142857142,439.2476190476191,790.9685714285714
2013-12-31,110.75636363636363,523.5227272727273,1740.2386363636363,442.94772727272726,795.07
2014-01-31,107.27869565217391,529.3478260869565,1728.2065217391305,445.22999999999996,790.4439130434782
2014-02-28,108.835,527.5,1692.7625,443.0665,776.759
2014-03-31,107.74809523809525,520.5952380952381,1712.5579647266316,438.85952380952375,781.7095238095238
2014-04-30,108.15545454545455,519.7727272727273,1812.75,437.9431818181818,817.4963636363638
2014-05-31,109.23909090909092,512.5,1750.159090909091,431.78909090909093,793.329090909091
2014-06-30,111.96714285714286,505.8333333333333,1833.9642857142858,431.08952380952377,817.604761904762
2014-07-31,108.18521739130433,505.2173913043478,1945.108695652174,426.97391304347826,852.7395652173914
2014-08-31,103.39571428571428,506.07142857142856,2032.5,424.6690476190476,879.3166666666667
2014-09-30,98.57,495.22727272727275,1991.465909090909,416.5190909090909,857.5836363636364
2014-10-31,88.0495652173913,480.0,1937.9239130434783,403.06652173913045,835.5091304347826
2014-11-30,79.62899999999999,470.625,2053.6125,389.66999999999996,863.36
2014-12-31,63.13478260869565,458.9130434782609,1905.4673913043478,377.28956521739127,810.765652173913
2015-01-31,50.10227272727273,435.90909090909093,1808.6931818181818,359.02590909090907,762.4668181818182
2015-02-28,58.795,380.875,1820.425,316.22950000000003,753.889
2015-03-31,56.93863636363637,372.72727272727275,1772.2613636363637,310.3509090909091,730.6486363636363
2015-04-30,60.85454545454545,367.6136363636364,1812.5454545454545,307.8331818181818,740.8859090909091
2015-05-31,65.60857142857142,361.07142857142856,1805.3333333333333,301.20666666666665,746.0619047619048
