fecha,equipo,tipo,valor,p05,p95
2010-07-31,Price_Equipo2,historico,884.82,,
2010-08-31,Price_Equipo2,historico,941.94,,
2010-09-30,Price_Equipo2,historico,959.61,,
2010-10-31,Price_Equipo2,historico,1007.99,,
2010-11-30,Price_Equipo2,historico,1008.2,,
2010-12-31,Price_Equipo2,historico,1025.54,,
2011-01-31,Price_Equipo2,historico,1066.8,,
2011-02-28,Price_Equipo2,historico,1116.15,,
2011-03-31,Price_Equipo2,historico,1129.13,,
2011-04-30,Price_Equipo2,historico,1166.76,,
2011-05-31,Price_Equipo2,historico,1144.69,,
2011-06-30,Price_Equipo2,historico,1123.32,,
2011-07-31,Price_Equipo2,historico,1105.78,,
2011-08-31,Price_Equipo2,historico,1062.44,,
2011-09-30,Price_Equipo2,historico,1034.76,,
2011-10-31,Price_Equipo2,historico,978.73,,
2011-11-30,Price_Equipo2,historico,928.77,,
2011-12-31,Price_Equipo2,historico,913.43,,
2012-01-31,Price_Equipo2,historico,957.02,,
2012-02-29,Price_Equipo2,historico,986.8,,
2012-03-31,Price_Equipo2,historico,980.98,,
2012-04-30,Price_Equipo2,historico,938.21,,
2012-05-31,Price_Equipo2,historico,911.58,,
2012-06-30,Price_Equipo2,historico,861.42,,
2012-07-31,Price_Equipo2,historico,853.14,,
2012-08-31,Price_Equipo2,historico,826.68,,
2012-09-30,Price_Equipo2,historico,892.98,,
2012-10-31,Price_Equipo2,historico,871.04,,
2012-11-30,Price_Equipo2,historico,862.18,,
2012-12-31,Price_Equipo2,historico,912.29,,
2013-01-31,Price_Equipo2,historico,915.27,,
2013-02-28,Price_Equipo2,historico,926.78,,
2013-03-31,Price_Equipo2,historico,873.31,,
2013-04-30,Price_Equipo2,historico,833.09,,
2013-05-31,Price_Equipo2,historico,814.16,,
2013-06-30,Price_Equipo2,historico,805.3,,
2013-07-31,Price_Equipo2,historico,798.68,,
2013-08-31,Price_Equipo2,historico,818.93,,
2013-09-30,Price_Equipo2,historico,803.43,,
2013-10-31,Price_Equipo2,historico,812.09,,
2013-11-30,Price_Equipo2,historico,790.97,,
2013-12-31,Price_Equipo2,historico,795.07,,
2014-01-31,Price_Equipo2,historico,790.44,,
2014-02-28,Price_Equipo2,historico,776.76,,
2014-03-31,Price_Equipo2,historico,781.71,,
2014-04-30,Price_Equipo2,historico,817.5,,
2014-05-31,Price_Equipo2,historico,793.33,,
2014-06-30,Price_Equipo2,historico,817.6,,
2014-07-31,Price_Equipo2,historico,852.74,,
2014-08-31,Price_Equipo2,historico,879.32,,
2014-09-30,Price_Equipo2,historico,857.58,,
2014-10-31,Price_Equipo2,historico,835.51,,
2014-11-30,Price_Equipo2,historico,863.36,,
2014-12-31,Price_Equipo2,historico,810.77,,
2015-01-31,Price_Equipo2,historico,762.47,,
2015-02-28,Price_Equipo2,historico,753.89,,
2015-03-31,Price_Equipo2,historico,730.65,,
2015-04-30,Price_Equipo2,historico,740.89,,
2015-05-31,Price_Equipo2,historico,746.06,,
2015-06-30,Price_Equipo2,historico,703.93,,
2015-07-31,Price_Equipo2,historico,672.8,,
2015-08-31,Price_Equipo2,historico,631.84,,
2015-09-30,Price_Equipo2,historico,641.38,,
2015-10-31,Price_Equipo2,historico,613.82,,
2015-11-30,Price_Equipo2,historico,592.34,,
2015-12-31,Price_Equipo2,historico,599.09,,
2016-01-31,Price_Equipo2,historico,588.67,,
2016-02-29,Price_Equipo2,historico,615.46,,
2016-03-31,Price_Equipo2,historico,630.34,,
2016-04-30,Price_Equipo2,historico,673.26,,
2016-05-31,Price_Equipo2,historico,666.43,,
2016-06-30,Price_Equipo2,historico,661.78,,
2016-07-31,Price_Equipo2,historico,675.36,,
2016-08-31,Price_Equipo2,historico,692.5,,
2016-09-30,Price_Equipo2,historico,673.79,,
2016-10-31,Price_Equipo2,historico,698.51,,
2016-11-30,Price_Equipo2,historico,748.28,,
2016-12-31,Price_Equipo2,historico,759.95,,
2017-01-31,Price_Equipo2,historico,779.89,,
2017-02-28,Price_Equipo2,historico,806.54,,
2017-03-31,Price_Equipo2,historico,818.68,,
2017-04-30,Price_Equipo2,historico,803.61,,
2017-05-31,Price_Equipo2,historico,799.14,,
2017-06-30,Price_Equipo2,historico,789.15,,
2017-07-31,Price_Equipo2,historico,813.71,,
2017-08-31,Price_Equipo2,historico,871.04,,
2017-09-30,Price_Equipo2,historico,911.63,,
2017-10-31,Price_Equipo2,historico,913.11,,
2017-11-30,Price_Equipo2,historico,908.25,,
2017-12-31,Price_Equipo2,historico,907.62,,
2018-01-31,Price_Equipo2,historico,953.11,,
2018-02-28,Price_Equipo2,historico,944.31,,
2018-03-31,Price_Equipo2,historico,910.13,,
2018-04-30,Price_Equipo2,historico,963.7,,
2018-05-31,Price_Equipo2,historico,984.81,,
2018-06-30,Price_Equipo2,historico,967.89,,
2018-07-31,Price_Equipo2,historico,918.87,,
2018-08-31,Price_Equipo2,historico,902.23,,
2018-09-30,Price_Equipo2,historico,891.08,,
2018-10-31,Price_Equipo2,historico,889.49,,
2018-11-30,Price_Equipo2,historico,836.62,,
2018-12-31,Price_Equipo2,historico,822.25,,
2019-01-31,Price_Equipo2,historico,794.69,,
2019-02-28,Price_Equipo2,historico,814.32,,
2019-03-31,Price_Equipo2,historico,824.72,,
2019-04-30,Price_Equipo2,historico,816.9,,
2019-05-31,Price_Equipo2,historico,784.6,,
2019-06-30,Price_Equipo2,historico,774.59,,
2019-07-31,Price_Equipo2,historico,786.25,,
2019-08-31,Price_Equipo2,historico,760.21,,
2019-09-30,Price_Equipo2,historico,756.19,,
2019-10-31,Price_Equipo2,historico,741.84,,
2019-11-30,Price_Equipo2,historico,756.32,,
2019-12-31,Price_Equipo2,historico,768.28,,
2020-01-31,Price_Equipo2,historico,775.44,,
2020-02-29,Price_Equipo2,historico,734.64,,
2020-03-31,Price_Equipo2,historico,692.37,,
2020-04-30,Price_Equipo2,historico,627.26,,
2020-05-31,Price_Equipo2,historico,634.84,,
2020-06-30,Price_Equipo2,historico,684.17,,
2020-07-31,Price_Equipo2,historico,714.84,,
2020-08-31,Price_Equipo2,historico,765.46,,
2020-09-30,Price_Equipo2,historico,768.84,,
2020-10-31,Price_Equipo2,historico,784.33,,
2020-11-30,Price_Equipo2,historico,839.12,,
2020-12-31,Price_Equipo2,historico,904.39,,
2021-01-31,Price_Equipo2,historico,904.6,,
2021-02-28,Price_Equipo2,historico,936.79,,
2021-03-31,Price_Equipo2,historico,997.45,,
2021-04-30,Price_Equipo2,historico,1080.67,,
2021-05-31,Price_Equipo2,historico,1157.14,,
2021-06-30,Price_Equipo2,historico,1130.36,,
2021-07-31,Price_Equipo2,historico,1158.0,,
2021-08-31,Price_Equipo2,historico,1200.7,,
2021-09-30,Price_Equipo2,historico,1274.86,,
2021-10-31,Price_Equipo2,historico,1314.73,,
2021-11-30,Price_Equipo2,historico,1167.49,,
2021-12-31,Price_Equipo2,historico,1185.43,,
2022-01-31,Price_Equipo2,historico,1285.11,,
2022-02-28,Price_Equipo2,historico,1379.95,,
2022-03-31,Price_Equipo2,historico,1499.63,,
2022-04-30,Price_Equipo2,historico,1411.43,,
2022-05-31,Price_Equipo2,historico,1233.53,,
2022-06-30,Price_Equipo2,historico,1135.79,,
2022-07-31,Price_Equipo2,historico,1040.47,,
2022-08-31,Price_Equipo2,historico,1040.26,,
2022-09-30,Price_Equipo2,historico,962.79,,
2022-10-31,Price_Equipo2,historico,961.8,,
2022-11-30,Price_Equipo2,historico,985.72,,
2022-12-31,Price_Equipo2,historico,1017.75,,
2023-01-31,Price_Equipo2,historico,1062.53,,
2023-02-28,Price_Equipo2,historico,1040.91,,
2023-03-31,Price_Equipo2,historico,1002.43,,
2023-04-30,Price_Equipo2,historico,1008.61,,
2023-05-31,Price_Equipo2,historico,964.02,,
2023-06-30,Price_Equipo2,historico,931.19,,
2023-07-31,Price_Equipo2,historico,929.81,,
2023-08-31,Price_Equipo2,historico,927.66,,
2023-09-30,Price_Equipo1,proyeccion,462.08,420.72,505.0
2023-10-31,Price_Equipo1,proyeccion,462.42,397.67,548.28
2023-11-30,Price_Equipo1,proyeccion,463.21,379.11,578.38
2023-12-31,Price_Equipo1,proyeccion,462.84,360.22,602.1
2024-01-31,Price_Equipo1,proyeccion,463.66,346.21,625.58
2024-02-29,Price_Equipo1,proyeccion,464.91,332.88,646.56
2023-09-30,Price_Equipo2,proyeccion,925.74,864.49,983.01
2023-10-31,Price_Equipo2,proyeccion,928.7,826.58,1026.91
2023-11-30,Price_Equipo2,proyeccion,929.65,803.87,1059.1
2023-12-31,Price_Equipo2,proyeccion,930.76,786.12,1087.71
2024-01-31,Price_Equipo2,proyeccion,931.12,766.11,1115.17
2024-02-29,Price_Equipo2,proyeccion,931.81,750.04,1138.44
